uni_const_code,pre_ind_nota,post_ind_nota,nota_percoftotal
0|9|62,22.34848485,29.67840983,33.37912088
0|9|63,32.18085106,25.75907497,22.62476912
0|9|64,24.34077079,24.17061611,68.48341232
0|9|65,28.07692308,33.33333333,73.51190476
0|9|66,79.44664032,27.54375021,52.75962833
0|9|67,33.99638336,25.80188679,64.99811321
0|9|68,83.41677096,29.21209446,33.3491503
0|9|69,69.33223413,20.36637931,30.94468391
0|9|7,31.62790698,16.3998358,42.83251232
0|9|70,41.796875,36.40796875,23.67349201
0|9|71,25.94339623,24.76773649,38.44840935
0|9|72,31.51515152,29.30596699,41.29919594
0|9|73,76.42369021,56.85435435,14.03260403
0|9|74,38.55218855,26.63232844,43.34097106
0|9|75,41.26984127,60.61580716,32.3479455
0|9|76,47.25274725,31.69701214,45.08870215
0|9|77,35.74660633,14.5626072,21.04631218
0|9|78,66.05504587,18.82558551,34.17128783
0|9|79,29.55082742,26.60332542,55.34441805
0|9|8,63.42412451,25.9534769,34.99506822
0|9|80,100,22.86692163,50.05043787
0|9|9,26.96629213,20.48189286,48.78803656
1|10|1,57.49559083,74.54657873,7.543281121
1|10|10,100,74.87380819,11.44139091
1|10|100,55.53047404,26.88172043,6.989247312
1|10|101,32.24932249,25.23489933,12.61744966
1|10|102,68.76742889,33.37091319,50.73280722
1|10|103,37.27678571,27.13178295,53.35917313
1|10|104,30.52959502,71.31091283,5.902539465
1|10|105,15.05546751,66.69128508,12.0014771
1|10|106,24.72493888,25.42503864,11.90108192
1|10|107,23.25783972,54.85661425,28.9546716
1|10|108,41.66666667,23.44913151,36.10421836
1|10|109,18.83983573,29.8245614,39.94601889
1|10|11,46.09375,50.89662447,8.544303797
1|10|110,30.04345127,24.66983624,9.772847332
1|10|111,38.95996698,23.02631579,10.0877193
1|10|112,23.18885449,35.53355336,12.21122112
1|10|113,22.26117441,66.05684417,12.34890559
1|10|114,21.77152318,25.66941298,6.153450051
1|10|115,46.945779,63.12056738,30.85106383
1|10|116,55.89041096,26.7961165,26.40776699
1|10|117,30.14075887,43.6026936,24.32659933
1|10|118,42.40305149,26.94029851,16.41791045
1|10|119,63.15086782,31.57338965,33.68532207
1|10|12,34.33007476,48.28641371,33.47613219
1|10|120,44.37669377,55.90669676,12.34010534
1|10|121,56.91158157,30.03508772,30.66666667
1|10|122,33.33333333,26.52825836,31.48788927
1|10|123,40.085796,31.18110236,19.68503937
1|10|124,78.01372101,33.16796598,6.094968108
1|10|125,40.82073434,39.58677686,21.23966942
1|10|126,18.29224723,67.04318937,8.372093023
1|10|127,11.87618446,24.08074982,10.31002163
1|10|128,32.76836158,37.86982249,14.49704142
1|10|129,41.24705882,21.41280353,11.58940397
1|10|13,31.50289017,40.57142857,59.42857143
1|10|130,53.22812052,30.14112903,7.258064516
1|10|131,100,38.24362606,21.03399433
1|10|132,34.96932515,34.35700576,36.02047345
1|10|133,47.48603352,37.96992481,13.34586466
1|10|134,35.8974359,22.73180459,38.88334995
1|10|135,28.92156863,31.87221397,17.45913819
1|10|136,57.44680851,29.455081,70.544919
1|10|137,36.34538153,65.4176693,4.950154692
1|10|138,100,29.8401421,54.1740675
1|10|14,49.06976744,30.94017094,42.90598291
1|10|140,90.44117647,13.94025605,72.40398293
1|10|141,80.61868687,19.91215227,60.61493411
1|10|142,62.57967754,41.27853881,18.72146119
1|10|143,29.75206612,42.92379471,27.21617418
1|10|144,92.07920792,20.22292994,61.78343949
1|10|145,66.22222222,67.8030303,21.81818182
1|10|146,53.61305361,13.93596987,51.97740113
1|10|147,62.09262436,22.55319149,56.59574468
1|10|148,100,37.33804476,33.09776207
1|10|149,53.60288231,23.57651246,29.89323843
1|10|15,67.78846154,51.42857143,48.57142857
1|10|150,47.61904762,46.39482844,16.01193436
1|10|151,38.00383877,21.4084507,49.57746479
1|10|152,60.48780488,31.80327869,27.32240437
1|10|153,36.77172875,30.77948035,24.18387742
1|10|154,31.71717172,25.03863988,36.16692427
1|10|155,100,53.17939609,10.72824156
1|10|156,37.88546256,81.05691057,13.33333333
1|10|157,23.15202232,46.90721649,27.21649485
1|10|158,39.61179008,38.9483066,37.6114082
1|10|159,65.2892562,19.68253968,46.87830688
1|10|16,43.40239913,33.97524072,43.1911967
1|10|161,46.34078984,31.50912106,18.24212272
