uni_const_code,n_indnota_pre,n_indnota_post
1|18|117,2,4
1|18|118,1,7
1|18|119,,3
1|18|12,4,3
1|18|120,,3
1|18|121,1,3
1|18|122,,3
1|18|123,1,6
1|18|124,1,5
1|18|125,3,7
1|18|126,1,9
1|18|13,3,4
1|18|14,8,5
1|18|15,3,9
1|18|16,,2
1|18|17,1,3
1|18|18,3,2
1|18|19,2,2
1|18|2,1,6
1|18|20,1,2
1|18|21,1,4
1|18|22,,1
1|18|23,,4
1|18|24,3,6
1|18|25,1,2
1|18|26,2,7
1|18|27,3,8
1|18|28,3,4
1|18|29,1,9
1|18|3,7,11
1|18|30,1,5
1|18|31,2,4
1|18|32,,6
1|18|33,1,3
1|18|34,,3
1|18|35,1,2
1|18|36,,6
1|18|37,3,5
1|18|38,,4
1|18|39,,4
1|18|4,20,23
1|18|40,6,7
1|18|41,4,7
1|18|42,5,7
1|18|43,,4
1|18|44,,1
1|18|45,1,3
1|18|46,2,3
1|18|47,1,2
1|18|48,,4
1|18|49,,2
1|18|5,1,9
1|18|50,2,3
1|18|51,3,3
1|18|52,3,5
1|18|53,5,5
1|18|54,4,5
1|18|55,3,7
1|18|56,4,6
1|18|57,3,8
1|18|58,1,6
1|18|59,3,7
1|18|6,14,18
1|18|60,,7
1|18|61,,2
1|18|62,1,4
1|18|63,,3
1|18|64,4,7
1|18|65,2,8
1|18|66,1,6
1|18|67,,4
1|18|68,,4
1|18|69,1,5
1|18|7,5,9
1|18|70,4,8
1|18|71,2,7
1|18|72,,3
1|18|73,2,3
1|18|74,1,7
1|18|75,2,4
1|18|76,1,1
1|18|77,1,2
1|18|78,2,3
1|18|79,,2
1|18|8,13,10
1|18|80,1,5
1|18|81,1,3
1|18|82,,1
1|18|83,,4
1|18|84,1,4
1|18|85,1,5
1|18|86,3,4
1|18|87,,4
1|18|88,2,3
1|18|89,1,4
1|18|9,4,10
1|18|90,7,10
1|18|91,2,3
1|18|92,4,3
1|18|93,1,5
1|18|94,2,5
1|18|95,,2
1|18|96,3,2
1|18|97,,3
1|18|98,,3
1|18|99,2,2
1|19|1,2,3
1|19|10,3,1
1|19|100,2,2
1|19|101,2,2
1|19|102,,2
1|19|103,1,2
1|19|104,2,4
1|19|105,2,5
1|19|106,2,4
1|19|107,,2
1|19|108,1,2
1|19|109,,1
1|19|11,1,7
1|19|110,,1
1|19|111,1,1
1|19|112,1,4
1|19|113,1,2
1|19|114,,2
1|19|115,5,2
1|19|116,1,4
1|19|117,4,3
1|19|118,,1
1|19|119,1,1
1|19|12,3,2
1|19|120,2,1
1|19|121,1,1
1|19|122,1,1
1|19|123,3,2
1|19|124,1,1
1|19|125,,1
1|19|126,1,2
1|19|127,,1
1|19|128,1,2
1|19|129,2,2
1|19|13,1,4
1|19|130,2,1
1|19|131,1,1
1|19|132,,2
1|19|133,1,1
1|19|134,2,4
1|19|135,,2
1|19|136,1,5
1|19|137,2,3
1|19|138,,2
1|19|139,,1
1|19|14,1,1
1|19|140,2,3
1|19|141,2,2
1|19|142,3,5
1|19|143,,5
1|19|144,1,1
1|19|145,3,2
1|19|146,1,2
1|19|147,2,3
1|19|148,1,2
1|19|149,3,6
1|19|15,1,1
1|19|150,6,5
1|19|151,4,2
1|19|152,2,4
1|19|153,4,5
1|19|154,1,4
1|19|155,2,2
1|19|156,2,2
1|19|157,1,2
1|19|158,4,8
1|19|159,5,7
1|19|16,2,1
1|19|160,2,3
1|19|161,2,4
1|19|162,4,4
1|19|163,4,6
1|19|164,3,4
1|19|165,7,6
1|19|166,6,6
1|19|167,3,5
