uni_const_code,pre_ind_nota,post_ind_nota,nota_percoftotal,pre-post,post-pre,nota_vote_percentage,gen_state,state_id,n_indnota_pre,n_indnota_post,post-pre_ncand_nota,post-pre_ncand
0|27|31,57.45454545,8.45437949,69.33265865,49.00016596,-49.00016596,1.56,0,27,9,7.5,-1.5,-2.5
0|27|32,55.98243688,25.36682569,37.4021577,30.61561119,-30.61561119,1.59,0,27,3,6,3,2
0|27|33,20.43551089,16.96155365,30.72459119,3.47395724,-3.47395724,1.05,0,27,12,12,0,-1
0|27|34,12.5,9.375,46.98594675,3.125,-3.125,0.855,0,27,25,18,-7,-8
0|27|35,18.70503597,17.9044157,43.37324922,0.80062027,-0.80062027,0.965,0,27,10,7.5,-2.5,-3.5
0|27|36,56.52173913,15.6758494,33.17171717,40.84588973,-40.84588973,0.785,0,27,5,10,5,4
0|27|37,86.27276766,23.9237106,17.11198663,62.34905706,-62.34905706,0.52,0,27,8,9.5,1.5,0.5
0|27|38,37.4863388,30.25201186,20.62394632,7.23432694,-7.23432694,0.79,0,27,12,10,-2,-3
0|27|39,17.52380952,20.93234536,3.898362922,-3.40853584,3.40853584,0.185,0,27,11,27,16,15
0|27|4,15.45293073,26.56440368,28.25064302,-11.11147295,11.11147295,0.63,0,27,12,9.5,-2.5,-3.5
0|27|40,16.11893584,26.26601181,19.38673923,-10.14707597,10.14707597,0.62,0,27,14,12.5,-1.5,-2.5
0|27|41,29.41176471,19.9095262,45.16811725,9.50223851,-9.50223851,0.94,0,27,5,7.5,2.5,1.5
0|27|42,28.9893617,15.39438574,42.00448287,13.59497596,-13.59497596,1.01,0,27,7,9,2,1
0|27|43,29.61538462,27.11397168,6.018765801,2.50141294,-2.50141294,0.345,0,27,7,19.5,12.5,11.5
0|27|44,91.29342821,21.22173563,25.12378229,70.07169258,-70.07169258,0.565,0,27,9,9,0,-1
0|27|45,100,43.84800226,16.85686016,56.15199774,-56.15199774,0.955,0,27,1,9,8,7
0|27|46,80.61538462,32.81735139,37.43708256,47.79803323,-47.79803323,1.455,0,27,2,4.5,2.5,1.5
0|27|47,96.01198709,26.21564657,24.9178505,69.79634052,-69.79634052,0.605,0,27,6,8.5,2.5,1.5
